Steppingstone sampler:
        No Stones:                  500
        Start It:                   1100001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
283	0.122662	7500	-0.124641	-67.961165
284	0.121247	7500	-0.123710	-68.084876
285	0.119842	7500	-0.123013	-68.207889
286	0.118447	7500	-0.120032	-68.327921
287	0.117062	7500	-0.122885	-68.450805
288	0.115686	7500	-0.121445	-68.572250
289	0.114320	7500	-0.119171	-68.691421
290	0.112964	7500	-0.118111	-68.809532
291	0.111618	7500	-0.119946	-68.929478
292	0.110281	7500	-0.117318	-69.046796
293	0.108954	7500	-0.116037	-69.162833
294	0.107637	7500	-0.117297	-69.280131
295	0.106329	7500	-0.116633	-69.396763
296	0.105030	7500	-0.111864	-69.508627
297	0.103742	7500	-0.114934	-69.623561
298	0.102463	7500	-0.114520	-69.738082
299	0.101193	7500	-0.112641	-69.850723
300	0.099933	7500	-0.111977	-69.962700
301	0.098682	7500	-0.111950	-70.074650
302	0.097441	7500	-0.108975	-70.183625
303	0.096209	7500	-0.108644	-70.292269
304	0.094986	7500	-0.110769	-70.403038
305	0.093773	7500	-0.109037	-70.512075
306	0.092570	7500	-0.106716	-70.618791
307	0.091375	7500	-0.106876	-70.725666
308	0.090190	7500	-0.108793	-70.834460
309	0.089014	7500	-0.106575	-70.941034
310	0.087848	7500	-0.104337	-71.045371
311	0.086690	7500	-0.102239	-71.147610
312	0.085542	7500	-0.105304	-71.252914
313	0.084403	7500	-0.103462	-71.356376
314	0.083273	7500	-0.104668	-71.461045
315	0.082152	7500	-0.102593	-71.563638
316	0.081041	7500	-0.100578	-71.664215
317	0.079938	7500	-0.098316	-71.762531
318	0.078845	7500	-0.098715	-71.861245
319	0.077760	7500	-0.097551	-71.958796
320	0.076684	7500	-0.098555	-72.057351
321	0.075618	7500	-0.100114	-72.157465
322	0.074560	7500	-0.098228	-72.255693
323	0.073512	7500	-0.096688	-72.352380
324	0.072472	7500	-0.095295	-72.447675
325	0.071441	7500	-0.095040	-72.542715
326	0.070419	7500	-0.095292	-72.638007
327	0.069406	7500	-0.094554	-72.732561
328	0.068401	7500	-0.093683	-72.826244
329	0.067406	7500	-0.092999	-72.919243
330	0.066419	7500	-0.092401	-73.011644
331	0.065441	7500	-0.092798	-73.104442
332	0.064471	7500	-0.090287	-73.194729
333	0.063510	7500	-0.089654	-73.284383
334	0.062558	7500	-0.087345	-73.371728
335	0.061615	7500	-0.088244	-73.459972
336	0.060680	7500	-0.089179	-73.549152
337	0.059753	7500	-0.087392	-73.636543
338	0.058836	7500	-0.087584	-73.724127
339	0.057926	7500	-0.085703	-73.809830
340	0.057025	7500	-0.084449	-73.894279
341	0.056133	7500	-0.084588	-73.978868
342	0.055249	7500	-0.084246	-74.063113
343	0.054373	7500	-0.082305	-74.145418
344	0.053506	7500	-0.085074	-74.230492
345	0.052647	7500	-0.081913	-74.312405
346	0.051797	7500	-0.084003	-74.396408
347	0.050955	7500	-0.079844	-74.476252
348	0.050121	7500	-0.081437	-74.557688
349	0.049295	7500	-0.078354	-74.636043
350	0.048478	7500	-0.078775	-74.714818
351	0.047668	7500	-0.079424	-74.794242
352	0.046867	7500	-0.077337	-74.871579
353	0.046074	7500	-0.076301	-74.947879
354	0.045289	7500	-0.077157	-75.025036
355	0.044512	7500	-0.078134	-75.103170
356	0.043744	7500	-0.076198	-75.179369
357	0.042983	7500	-0.074995	-75.254364
358	0.042230	7500	-0.073339	-75.327703
359	0.041485	7500	-0.074316	-75.402019
360	0.040749	7500	-0.072185	-75.474204
361	0.040020	7500	-0.074151	-75.548355
362	0.039299	7500	-0.073297	-75.621652
363	0.038585	7500	-0.071653	-75.693305
364	0.037880	7500	-0.072926	-75.766231
365	0.037182	7500	-0.069472	-75.835704
366	0.036493	7500	-0.071811	-75.907514
367	0.035810	7500	-0.068729	-75.976243
368	0.035136	7500	-0.068963	-76.045206
369	0.034469	7500	-0.070384	-76.115591
370	0.033810	7500	-0.068499	-76.184090
371	0.033159	7500	-0.064925	-76.249014
372	0.032515	7500	-0.066541	-76.315556
373	0.031879	7500	-0.067457	-76.383013
374	0.031250	7500	-0.064665	-76.447678
375	0.030629	7500	-0.066092	-76.513770
376	0.030015	7500	-0.065711	-76.579481
377	0.029409	7500	-0.063470	-76.642951
378	0.028810	7500	-0.064753	-76.707704
379	0.028218	7500	-0.065281	-76.772985
380	0.027634	7500	-0.060947	-76.833932
381	0.027057	7500	-0.062537	-76.896469
382	0.026487	7500	-0.064371	-76.960840
383	0.025925	7500	-0.062075	-77.022915
384	0.025370	7500	-0.060097	-77.083012
385	0.024822	7500	-0.058691	-77.141703
386	0.024281	7500	-0.057780	-77.199484
387	0.023748	7500	-0.056125	-77.255609
388	0.023221	7500	-0.060183	-77.315792
389	0.022702	7500	-0.057822	-77.373613
390	0.022189	7500	-0.055133	-77.428747
391	0.021684	7500	-0.055318	-77.484064
392	0.021185	7500	-0.055959	-77.540024
393	0.020694	7500	-0.056377	-77.596401
394	0.020209	7500	-0.057200	-77.653601
395	0.019731	7500	-0.052689	-77.706290
396	0.019261	7500	-0.056251	-77.762541
397	0.018796	7500	-0.058160	-77.820701
398	0.018339	7500	-0.054869	-77.875571
399	0.017889	7500	-0.055048	-77.930618
400	0.017445	7500	-0.052979	-77.983597
401	0.017007	7500	-0.050598	-78.034195
402	0.016577	7500	-0.053343	-78.087538
403	0.016153	7500	-0.049013	-78.136551
404	0.015736	7500	-0.052803	-78.189354
405	0.015325	7500	-0.052731	-78.242084
406	0.014920	7500	-0.049326	-78.291411
407	0.014523	7500	-0.046961	-78.338372
408	0.014131	7500	-0.045813	-78.384185
409	0.013746	7500	-0.046447	-78.430632
410	0.013367	7500	-0.047458	-78.478089
411	0.012995	7500	-0.048615	-78.526704
412	0.012629	7500	-0.049307	-78.576011
413	0.012269	7500	-0.047632	-78.623643
414	0.011916	7500	-0.045387	-78.669030
415	0.011568	7500	-0.047916	-78.716946
416	0.011227	7500	-0.043567	-78.760514
417	0.010892	7500	-0.043340	-78.803853
418	0.010563	7500	-0.043741	-78.847594
419	0.010240	7500	-0.045166	-78.892760
420	0.009923	7500	-0.047277	-78.940038
421	0.009612	7500	-0.042547	-78.982585
422	0.009307	7500	-0.040870	-79.023455
423	0.009008	7500	-0.040023	-79.063478
424	0.008714	7500	-0.041964	-79.105442
425	0.008427	7500	-0.041716	-79.147157
426	0.008145	7500	-0.041573	-79.188731
427	0.007869	7500	-0.039484	-79.228215
428	0.007598	7500	-0.040153	-79.268368
429	0.007334	7500	-0.043618	-79.311986
430	0.007075	7500	-0.039848	-79.351834
431	0.006821	7500	-0.038345	-79.390178
432	0.006573	7500	-0.042554	-79.432732
433	0.006330	7500	-0.039964	-79.472697
434	0.006093	7500	-0.042834	-79.515531
435	0.005862	7500	-0.035880	-79.551411
436	0.005635	7500	-0.040013	-79.591424
437	0.005414	7500	-0.039371	-79.630795
438	0.005199	7500	-0.041426	-79.672220
439	0.004988	7500	-0.038787	-79.711007
440	0.004783	7500	-0.040225	-79.751232
441	0.004583	7500	-0.038126	-79.789358
442	0.004388	7500	-0.038948	-79.828306
443	0.004198	7500	-0.036418	-79.864724
444	0.004013	7500	-0.039682	-79.904406
445	0.003833	7500	-0.038982	-79.943388
446	0.003658	7500	-0.036909	-79.980298
447	0.003488	7500	-0.040272	-80.020569
448	0.003323	7500	-0.038535	-80.059104
449	0.003162	7500	-0.034531	-80.093636
450	0.003007	7500	-0.035551	-80.129187
451	0.002855	7500	-0.035497	-80.164684
452	0.002709	7500	-0.032844	-80.197527
453	0.002567	7500	-0.033808	-80.231336
454	0.002430	7500	-0.033888	-80.265224
455	0.002297	7500	-0.036034	-80.301258
456	0.002169	7500	-0.031790	-80.333048
457	0.002045	7500	-0.032136	-80.365184
458	0.001925	7500	-0.031711	-80.396895
459	0.001810	7500	-0.034602	-80.431497
460	0.001699	7500	-0.033557	-80.465054
461	0.001592	7500	-0.033300	-80.498354
462	0.001490	7500	-0.031671	-80.530025
463	0.001391	7500	-0.031942	-80.561967
464	0.001296	7500	-0.030179	-80.592146
465	0.001206	7500	-0.029845	-80.621991
466	0.001119	7500	-0.025890	-80.647881
467	0.001036	7500	-0.028719	-80.676600
468	0.000957	7500	-0.029259	-80.705859
469	0.000882	7500	-0.025090	-80.730949
470	0.000810	7500	-0.027327	-80.758276
471	0.000742	7500	-0.028687	-80.786963
472	0.000678	7500	-0.027113	-80.814076
473	0.000617	7500	-0.024784	-80.838860
474	0.000559	7500	-0.025011	-80.863871
475	0.000505	7500	-0.025938	-80.889809
476	0.000454	7500	-0.022164	-80.911973
477	0.000406	7500	-0.022828	-80.934801
478	0.000362	7500	-0.022311	-80.957112
479	0.000320	7500	-0.018816	-80.975928
480	0.000281	7500	-0.018121	-80.994049
481	0.000246	7500	-0.018233	-81.012282
482	0.000213	7500	-0.020811	-81.033093
483	0.000183	7500	-0.020244	-81.053337
484	0.000156	7500	-0.016360	-81.069697
485	0.000131	7500	-0.017456	-81.087154
486	0.000109	7500	-0.013912	-81.101066
487	0.000089	7500	-0.013000	-81.114065
488	0.000072	7500	-0.011034	-81.125099
489	0.000057	7500	-0.010805	-81.135904
490	0.000043	7500	-0.010659	-81.146563
491	0.000032	7500	-0.008499	-81.155062
492	0.000023	7500	-0.007532	-81.162594
493	0.000016	7500	-0.007044	-81.169638
494	0.000010	7500	-0.006443	-81.176081
495	0.000006	7500	-0.003971	-81.180052
496	0.000003	7500	-0.002866	-81.182918
497	0.000001	7500	-0.003459	-81.186377
498	0.000000	7500	-0.000569	-81.186946
499	0.000000	7500	-0.000139	-81.187085
Log marginal likelihood:	-81.187085
